bElement,Symbol,Concentration_mg_kg,Uncertainty_mg_kg,Value_Type,Notes
Iron,Fe,155400,4900,Certified,"Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% expanded-uncertainty interval"
Lanthanum,La,1200,65,Certified,"Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% expanded-uncertainty interval"
Lead,Pb,56,3,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Lithium,Li,29.8,0.85,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Lutetium,Lu,0.32,0.025,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Magnesium,Mg,5900,205,Certified,"Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% expanded-uncertainty interval"
Manganese,Mn,290,10,Certified,"Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% expanded-uncertainty interval"
Mercury,Hg,0.23,,Non-Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; official indicative (uncertified) value; no uncertainty assigned
Molybdenum,Mo,22.3,1,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Neodymium,Nd,750,25,Certified,"Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% expanded-uncertainty interval"
Nickel,Ni,32.5,1.65,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Niobium,Nb,630,42.5,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Phosphorus,P,1690,60,Certified,"Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% expanded-uncertainty interval"
Potassium,K,14000,400,Certified,"Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% expanded-uncertainty interval"
Praseodymium,Pr,220,8.5,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Rhenium,Re,0.002,,Non-Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; official indicative (uncertified) value; no uncertainty assigned
Rubidium,Rb,82,4.5,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Samarium,Sm,96,5,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Scandium,Sc,26.3,1.1,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Selenium,Se,1.33,,Non-Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; official indicative (uncertified) value; no uncertainty assigned
Silicon,Si,240100,9200,Certified,"Source: https://www.oreas.com/downloads/?fileId=6940; Borate / Peroxide Fusion ICP; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% expanded-uncertainty interval; used because no 4-acid certified value is reported"
Silver,Ag,0.331,0.041,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Sodium,Na,1520,115,Certified,"Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% expanded-uncertainty interval"
Strontium,Sr,287,11.5,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Sulfur,S,280,55,Certified,"Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% expanded-uncertainty interval"
Tantalum,Ta,11.5,0.5,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Tellurium,Te,0.31,0.06,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Terbium,Tb,4.34,0.335,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Thallium,Tl,0.48,0.035,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Thorium,Th,105,4,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Thulium,Tm,0.44,0.03,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Tin,Sn,19.6,1.15,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Titanium,Ti,9340,370,Certified,"Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% expanded-uncertainty interval"
Tungsten,W,44.9,2.9,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Uranium,U,3.48,0.18,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Vanadium,V,222,8.5,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Ytterbium,Yb,3.47,0.32,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; Borate / Peroxide Fusion ICP; uncertainty is the half-width of the published 95% expanded-uncertainty interval; used because no 4-acid certified value is reported
Yttrium,Y,55,2.5,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; Borate / Peroxide Fusion ICP; uncertainty is the half-width of the published 95% expanded-uncertainty interval; used because no 4-acid certified value is reported
Zinc,Zn,73,2.5,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; 4-Acid Digestion; uncertainty is the half-width of the published 95% expanded-uncertainty interval
Zirconium,Zr,415,23,Certified,Source: https://www.oreas.com/downloads/?fileId=6940; Borate / Peroxide Fusion ICP; uncertainty is the half-width of the published 95% expanded-uncertainty interval; used because no 4-acid certified value is reported
