bElement,Symbol,Concentration_mg_kg,Uncertainty_mg_kg,Value_Type,Notes
Rhenium,Re,0.03,,Certified Upper Limit,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; certificate reports <0.03 ppm; numeric concentration stores the upper limit; uncertainty is indeterminate
Rubidium,Rb,4.22,0.25,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Samarium,Sm,1485,47,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Scandium,Sc,141,4,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Selenium,Se,50,,Certified Upper Limit,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; certificate reports <50 ppm; numeric concentration stores the upper limit; uncertainty is indeterminate
Silicon,Si,95200,3100,Certified,"Source: https://www.oreas.com/downloads/?fileId=6630; Borate / Peroxide Fusion ICP; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% confidence interval; used because no 4-acid certified value is reported"
Silver,Ag,4.4,0.25,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Sodium,Na,1490,65,Certified,"Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% confidence interval"
Strontium,Sr,2043,99,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Sulfur,S,983,49.5,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Tantalum,Ta,20.9,2.3,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Tellurium,Te,0.36,0.06,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Terbium,Tb,55,2,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Thallium,Tl,0.15,0.005,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Thorium,Th,506,47.5,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Thulium,Tm,3.3,0.215,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Tin,Sn,35.7,2.15,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Titanium,Ti,10000,,Certified Upper Limit,"Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); certificate reports <1 wt.%; numeric concentration stores the upper limit; uncertainty is indeterminate"
Tungsten,W,2.37,0.27,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Uranium,U,17.6,0.4,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Vanadium,V,207,19,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Ytterbium,Yb,14.3,0.7,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Yttrium,Y,449,24,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Zinc,Zn,1128,38,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Zirconium,Zr,210,30.5,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
