bElement,Symbol,Concentration_mg_kg,Uncertainty_mg_kg,Value_Type,Notes
Erbium,Er,10.8,0.25,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Europium,Eu,80,3,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Gadolinium,Gd,164,3,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Gallium,Ga,58,9.5,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Germanium,Ge,6,,Non-Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; official indicative (uncertified) value; no uncertainty assigned
Hafnium,Hf,7.4,0.61,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Holmium,Ho,6.18,0.2,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Indium,In,0.75,0.02,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Iron,Fe,330500,6250,Certified,"Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% confidence interval"
Lanthanum,La,3669,153,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Lead,Pb,119,3.5,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Lithium,Li,10.8,0.75,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Lutetium,Lu,0.53,0.06,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Magnesium,Mg,10100,750,Certified,"Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% confidence interval"
Manganese,Mn,840,50,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Molybdenum,Mo,53,2.5,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Neodymium,Nd,2595,72.5,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Nickel,Ni,74,2,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Niobium,Nb,1447,25.5,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; Borate / Peroxide Fusion ICP; uncertainty is the half-width of the published 95% confidence interval; used because no 4-acid certified value is reported
Phosphorus,P,4540,310,Certified,"Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% confidence interval"
Potassium,K,1180,35,Certified,"Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% confidence interval"
Praseodymium,Pr,736,16,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Rhenium,Re,0.01,,Certified Upper Limit,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; certificate reports <0.01 ppm; numeric concentration stores the upper limit; uncertainty is indeterminate
Rubidium,Rb,6.45,0.33,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Samarium,Sm,362,10,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Scandium,Sc,51,2.5,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Selenium,Se,8.24,,Non-Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; official indicative (uncertified) value; no uncertainty assigned
Silicon,Si,131800,2050,Certified,"Source: https://www.oreas.com/downloads/?fileId=6624; Borate / Peroxide Fusion ICP; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% confidence interval; used because no 4-acid certified value is reported"
Silver,Ag,2,,Certified Upper Limit,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; certificate reports <2 ppm; numeric concentration stores the upper limit; uncertainty is indeterminate
Sodium,Na,1780,70,Certified,"Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% confidence interval"
Strontium,Sr,738,36.5,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Sulfur,S,548,44,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Tantalum,Ta,21.8,2.1,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Tellurium,Te,0.33,0.055,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Terbium,Tb,14.7,0.4,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Thallium,Tl,0.083,0.007,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Thorium,Th,246,4.5,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Thulium,Tm,1.01,0.05,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Tin,Sn,23.9,1,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Titanium,Ti,9860,780,Certified,"Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% confidence interval"
Tungsten,W,2.31,0.235,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Uranium,U,5.79,0.195,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Vanadium,V,353,19,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Ytterbium,Yb,4.36,0.225,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Yttrium,Y,125,3,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Zinc,Zn,244,17,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Zirconium,Zr,270,21,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
